,Unnamed: 0,Title,City,MinSalary,MaxSalary,company,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requirements,Terms,Key_skills,Days
0,0,IT Специалист,Новосибирск,60000.0,100000.0,профнорд,2021-01-15T13:00:11+0300,От 1 года до 3 лет,Частичная занятость,Гибкий график, ,"   работа на площадках по поиску исполнителей в сфере айти технологий   общение с исполнителями, контроль их работы   общение с Заказчиком   ",   опыт работы в этой сфере не менее одного года   ,"   работа в офисе на полный день 5/2, возможна частичная удаленка   зп на подъем после качественного выполнения проекта   ", Деловое общение; Навыки межличностного общения;,0
1,1,HR manager,Новосибирск,40000.0,60000.0,Matryoshka Games,2021-01-14T07:13:21+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Matryoshka Games -  разработчик казуальных мобильных игр. Наш коллектив - более шестидесяти увлеченных разработкой игр профессионалов. Команда работает удаленно и из офисов Новосибирска, Академгородка, Санкт-Петербурга. Мы стремимся создавать проекты высокого качества, которые будут радовать миллионы игроков по всему миру. ",,," Подробнее о компании, проектах вы можете узнать из наших  социальных сетей : Instagram, VK и Facebook. ", IT Recruitment; Gamedev;,0
2,2,Project manager,Новосибирск,60000.0,126000.0,i'way,2021-01-13T13:37:09+0300,От 1 года до 3 лет,Полная занятость,Полный день," Мы организуем трансферы в 120 странах мира. С нашим участием проходят крупнейшие события в России и за рубежом, в т.ч. Олимпиада в Сочи, чемпионат мира по футболу в России и многие другие! ",,,, Клиентоориентированность; Деловая коммуникация; Административное управление; Ведение переговоров; Пользователь ПК; Английский язык; Управление проектами; Деловое общение; Ориентация на результат; Agile Project Management; Scrum;,0
3,3,IT Директор,Новосибирск,150000.0,,Родные масла,2021-01-14T13:30:31+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Федеральная компания ""Родные масла""  - один из лидеров в сегменте продаж масел, смазок и расходных деталей автомобиля. Наши магазины и сервисы помогают клиентам заботится об автомобилях, в таких городах, как: Новосибирск, Красноярск, Барнаул, Томск, Новокузнецк, Омск и др. ",,,, Управление проектами; Управление персоналом; Подбор персонала; Управление командой; 1С: Розница;,0
4,4,Стажер IT,Новосибирск,,,Маркетика,2021-01-13T06:41:17+0300,Нет опыта,Стажировка,Полный день," Мы делаем интересные digital-проекты для бизнеса и государства: разрабатываем сайты и CRM, делаем интеграции, занимаемся интернет-продвижением и управлением репутацией. ",,,   трудоустройство по ТК РФ   текущие компетенции определяются по результатам выполнения тестового задания   , Интернет-реклама; Управление проектами; Управление интернет-проектами; Google Analytics; CRM;,0
5,5,IT-рекрутер,Новосибирск,60000.0,150000.0,КонсалтПро,2021-01-12T14:19:41+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,"   Консалтинговая компания в связи с расширением приглашает в команду удалённого специалиста по подбору IT персонала. Мы работает с различными продуктовыми и аутсорсинговыми IT-компаниями, ищем для них самых талантливых и экспертных специалистов различного уровня.   ",,,"   Удаленная работа;   Полный рабочий день (время работы обсуждается) ;   Средний доход 60 000-80 000 руб. Уровень заработка опытного специалиста 100 000-150000 руб.;   Интересные проекты в разных направлениях ;   Сдельная оплата 4 раза в месяц ;   Отсутствие границ по заработку ;   Телефония предоставляется   Корпоративные базы для поиска специалистов   Участие в корпоративных мероприятиях, тренингах ;   Возможность карьерного и профессионального роста ;   ", Подбор персонала; Рекрутмент; Работа в команде; Телефонные переговоры; Skype; Оценка кандидатов; Прямой поиск; Телефонное интервью; Ориентация на клиента; Многозадачность; Гибкость;,0
6,6,Sales manager,Новосибирск,40000.0,73333.0,Mace Loyalty,2021-01-13T14:47:18+0300,Нет опыта,Полная занятость,Удаленная работа," Mace Loyalty - это новый подход к системам лояльности. Мы помогаем бизнесу сделать их собственный карты лояльности и добавить их в телефон клиенту (Apple Wallet и Google Pay). Больше никакого пластика, карта всегда под рукой, а бизнес получает бесплатный канал отправки push сообщений и другие плюшки чтобы расти. Нас уже выбирают самые разные бизнесы в России и тебе предстоит сделать так, чтобы их становилось всё больше и больше. ",,,, Телефонные переговоры; Грамотная речь; Навыки продаж; Навыки презентации; Мотивация; Навыки переговоров; Информационные технологии;,0
7,7,IT-рекрутер,Новосибирск,47500.0,103750.0,Wellink,2021-01-13T15:46:31+0300,От 3 до 6 лет,Полная занятость,Удаленная работа,  Веллинк – ведущий российский разработчик программного обеспечения.  ,,  Ждем от вас:  ,, Подбор персонала; Оценка кандидатов; Адаптация персонала; Прямой поиск; IT Recruitment; Recruitment;,0
8,8,Project manager,Новосибирск,66666.0,126000.0,Ребреин,2021-01-15T10:39:29+0300,Нет опыта,Частичная занятость,Удаленная работа," Rebrainme.com - онлайн практикумы для специалистов по IT инфраструктуре. Более 2 000 человек проходят наши программы, мы готовим профессиональных инженеров и являемся одним из крупнейших сообществ в СНГ.  ",     Ведение проектов по производству новых образовательных программ REBRAIN       Планирование и распределение задач по проектам       Руководство командами разработки практикумов       Еженедельные и ежедневные встречи / Ретроспектива       Подготовка отчетов для старта и завершения проектов       Разработка Road Map проектов     ,,"   Работа в стабильной компании, команда небольшая, но вообще нет текучки   Гибкий график работы (Удаленка на Part-time)   Прозрачная система расчета заработной платы ( Обсуждается на собеседовании)   Выплата зп по ТК РФ, 2 раза в месяц   ", Product Management; Разработка технических заданий; Работа в команде; Постановка задач разработчикам;,0
9,9,IT-рекрутер,Новосибирск,47500.0,103750.0,"EPAM Systems, Inc.",2021-01-13T12:47:53+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа, We are currently looking for  remote IT Recruiters  with 1+ years of experience as an IT researcher or recruiter to join our TA team on a freelance basis. ,,,, Управление талантами;,0
10,10,Product manager,Новосибирск,30000.0,100000.0,Айтиова,2021-01-13T10:12:32+0300,От 1 года до 3 лет,Частичная занятость,Удаленная работа, ,   Выполнение плана продаж   Консультирование клиентов   Заключение договоров   Контроль оплат по счетам   Поиск клиентов   ,   Поставленная речь   Коммуникабельность.   Знание теории продаж.   Целеустремленность.   Организованность.   Красноречие.   Настойчивость.   Аналитическое мышление.   Обаяние.   Стрессоустойчивость.   ,"   20% с продаж,   Испытательный срок 30 дней, после положительного прохождение испытательного срока, оклад + 15% с продаж.   ", Заключение договоров; Поиск и привлечение клиентов; Пользователь ПК; Консультирование; Навыки продаж;,0
11,11,IT-рекрутер,Новосибирск,15000.0,50000.0,Львова Елена Олеговна,2021-01-03T18:53:47+0300,Нет опыта,Полная занятость,Удаленная работа," Формат работы: удаленная, 5/2 (8 часов) Заработная плата: 15.000 р + бонусы Обучение: 2 недели (не оплачивается) ",   поиск специалистов;   заполнение баз данных;   первичный контакт с кандидатом.   ,,   удаленная работа;   наставничество опытных специалистов;   погружение в сферу IT-Recruiting.   , Работа с базами данных; 1С: Управление персоналом; MS Access; Recruitment; Рекрутмент; Аналитическое мышление; Высокая скорость печати; Умение планировать; IT Recruitment;,0
12,12,Project manager,Новосибирск,66666.0,126000.0,Агророс банк,2020-12-17T18:21:21+0300,От 3 до 6 лет,Полная занятость,Полный день," В связи с динамичным развитием банка и ростом команды IT-специалистов, открываем вакансию Project Manager по IT-проектам с перспективой профессионального развития. ",   Организация эффективного взаимодействия IT-подразделения с бизнес-пользователями и руководством банка в рамках решения общих IT-задач.   Управление IT-проектами и другими бизнес-проектами с IT –разработкой.   Выстраивание процесса по переходу на современные технологии (IT-решения) и поддержка уровня технологичности банка.   ,,, Стратегическое мышление; Системное мышление; Проектный менеджмент; Расстановка приоритетов; Управление процессами; Моделирование бизнес процессов; Оптимизация бизнес-процессов; Организаторские навыки; Коммуникабельность; Работа в команде;,0
13,13,IT Инженер,Новосибирск,,,Ventra,2020-12-09T14:14:10+0300,Нет опыта,Частичная занятость,Гибкий график, Выездной инженер IT-поддержки ,"   Установка ПО (предоставляется заказчиком)   Подключение офисной техники и ПК   Диагностика и легкий ремонт офисной техники и ПК   Настройка Интернет, WiFi   Монтаж СКС (стоимость услуг согласуется с инженером)   Возможны легкие работы с серверным и сетевым оборудованием, в этом случае Заказчик предоставляет инструкции по необходимым действиям.   Возможны редкие ночные смены(оплачиваются отдельно)   ",,"   Порядок взаимодействия при появлении заявки на выезд предполагается следующий:   Координатор Ventra IT связывается с Вами, описывает суть возникшей проблемы, называет адрес заказчика и желаемое время выполнения запроса (время решения может изменяться от 6 часов до следующего рабочего дня).   Вы принимаете решение, можете ли Вы выполнить заявку в срок.   При положительном решении Вам на e-mail направляются детали этого запроса, контакты ответственных на объекте и прочая информация.   При отрицательном решении мы предлагаем решение этой заявки другим инженерам, никаких штрафов или прочих мер в этом случае не предусмотрено.   Прибыв на объект, Вы выполняете работы в соответствии с предоставленной Вам Координатором Ventra IT инструкциями.   После завершения работ Вы подписываете у представителя заказчика на объекте документ, подтверждающий выполнение работ и количество времени, проведенного на объекте («Сервисный лист»), который Вы должны отсканировать и направить на e-mail Координатору Ventra IT.   После получения сервисного листа Ventra IT перечисляет Вам вознаграждение в соответствии с Сервисным листом.   Среднее количество выездов – 3-5 раз в неделю. Оплата на карту либо счет поступает в течение 3 дней после получения Сервисного листа.   В случае положительного решения, с Вами будет заключен договор ГПХ (гражданско-правового характера) на оказание услуг. Оформление происходит в соответствии с законодательством РФ.   ", Ремонт ПК; Настройка сетевых подключений; Офисная техника; Техническое обслуживание; Пользователь ПК; Настройка ПО; Настройка ПК; проектирование СКС;,0
14,14,IT-рекрутер,Новосибирск,47500.0,103750.0,4people,2020-12-11T11:49:23+0300,От 1 года до 3 лет,Полная занятость,Полный день,"   Наша компания открывает набор IT-специалистов в г. Новосибирск, в связи с этим, ищем активного, нацеленного на результат IT рекрутера, с релевантным опытом.     Будем рады видеть в нашей команде специалиста, которому предстоит заниматься :  ",,,, Работа в команде; Умение работать в команде; Собеседование; Прямой поиск; Управление временем;,0
15,15,IT Аналитик,Новосибирск,40000.0,40000.0,РТ МИС,2021-01-11T09:22:47+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  «РТ МИС» - ведущая IT-компания по цифровизации здравоохранения страны! Разработанные нами решения облегчают работу большинству врачей в нашей стране. Мы ищем профессионалов, способных мыслить глобально и создавать тренды. У тебя есть шанс вписать свое имя в историю цифровизации здравоохранения страны!  ",,  Что   ты   уже   умеешь:  ,,,0
16,16,Project manager,Новосибирск,60000.0,120000.0,АйТи Мегастар,2020-12-27T14:11:09+0300,От 1 года до 3 лет,Полная занятость,Полный день,  О нас:  ,,"   В случае, если мы не ответили Вам в течение 14 календарных дней, значит мы пока не можем предложить Вам дальнейшее взаимодействие и сотрудничество. Но! Мы сохраняем отклик на перспективу, на будущие проекты.   ",, Account Management; Analysis; Project management;,0
17,17,IT-рекрутер,Новосибирск,47500.0,103750.0,МобайлДевелопмент (IceRock Development),2020-12-14T06:26:14+0300,От 1 года до 3 лет,Полная занятость,Гибкий график," Мы - команда  IceRock Development,  мы занимаемся мобильной и веб разработкой для российских и зарубежных проектов. У нас за плечами хороший опыт и экспертиза в kotlin multiplatаfrom и желание продвигать эту технологию в массы. Мы ценим профессионализм наших сотрудников, стремимся к развитию и любим нашу команду. Сейчас мы в поисках IT-recruiter в нашу команду. Если ты любишь рекрутинг, получаешь удовольствие от поиска лучших специалистов и ценишь высокие результаты, то пожалуй, нам стоит познакомиться. ",,"   Опыт IT рекрутмента от 1 года;   Владение различными методиками поиска и подбора персонала;.   Желание развиваться в сфере управления персоналом;   Любовь и интерес к IT-сфере;   Стрессоустойчивость, позитивное мышление, аккуратность, внимательность, нацеленность на результат.   ",   Возможность профессионального развития и карьерного роста;   Официальное трудоустройство;   Можно работать удаленно или в офисе в самом центре Новосибирска.   , Рекрутмент; Подбор персонала; Управление персоналом; Обучение и развитие; Работа в команде;,0
18,18,Project manager,Новосибирск,60000.0,150000.0,Промышленная маркировка,2021-01-14T10:10:20+0300,От 3 до 6 лет,Полная занятость,Гибкий график," Компания ""Промышленная маркировка"" является частью международного холдинга Markem Image в области маркировки и кодировки товара. Уже 17 лет наша компания является надежным поставщиком крупным производителям Сибири и Дальнего Востока качественных и инновационных устройств для промышленной маркировки: каплеструйных, термотрансферных, принтеров-аппликаторов и лазерных систем печати и оригинальных расходных материалов. Наша компания производит полный цикл работ: продажа, запуск линий, обслуживание гарантийное и постгарантийное. Требуется Руководитель IT- проектов Для написания и адаптации программного обеспечения на маркировочном оборудовании Ваша задача находить решение в нестандартных ситуациях Работа не совсем простая но очень интересная. ",,"   Разработка программ для промышленного комплекса, высокое быстродействие систем, архивация и обработка данных.   Написание программ с нуля для управления производством   Написание программ для управления маркировочным оборудованием на производстве   адаптация программного обеспечения с линиями производства и маркировочного оборудования.   написание протоколов связи 1С Предприятие с маркировочным оборудованием   Работа с , SQL сервер, C#   Работа с ERP Системами   Знание технического английского будет Вашим преимуществом.   Изучение , применение в проектах методических рекомендаций и федеральных законов   Управление отделом программистов   Управление АСУ ТП   ",   Официальное трудоустройство   Заработная плата: оклад + % с реализации проекта по результатам собеседования.   Краткосрочные командировки по РФ на пусконаладочные работы программного обеспечения.   Официальное трудоустройство или как фрилансер удаленно мы готовы заключить договор на взаимовыгодных условиях.   ,,0
19,19,IT Аналитик,Новосибирск,40000.0,40000.0,РТ МИС,2021-01-13T09:42:50+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  «РТ МИС» - ведущая IT-компания по цифровизации здравоохранения страны! Разработанные нами решения облегчают работу большинству врачей в нашей стране. Мы ищем профессионалов, способных мыслить глобально и создавать тренды. У тебя есть шанс вписать свое имя в историю цифровизации здравоохранения страны!  ",,  Что   ты   уже   умеешь:  ,,,0
20,20,IT Инженер,Новосибирск,,,МКК 4финанс,2021-01-14T06:59:11+0300,От 3 до 6 лет,Полная занятость,Полный день," Привет! Мы – амбициозная, дружная и активная команда, которая работает над современным финансовым сервисом для стран Юго-Восточной Азии. ",,"   Опыт работы в QA от 5 лет;   Знание основ ООП   Умение ответственно относиться к своей работе, самостоятельность, въедливость, скрупулезность;   Хорошее понимание веб-технологий, мобайла и того, как это все работает: фронтенд, бекенд, браузеры, API, etc;   Опыт написания автотестов предпочтительно на С# (но не критично);   Знание и опыт практического применения техник тест дизайна;   Опыт тестирования API с использованием Postman или аналогов;   Опыт работы с Jira, MS SQL, TestRail (или аналоги), Apium   Опыт работы в финтех проектах, стартапах, CRM системах будет плюсом;   Опыт удаленной работы.   ",, Atlassian Jira; Test case; SQL; Функциональное тестирование; MS SQL;,0
21,21,Project manager,Новосибирск,66666.0,200000.0,Metacommerce,2021-01-14T09:21:06+0300,От 3 до 6 лет,Полная занятость,Гибкий график,  Кто мы?   ,,,, Проектный менеджмент; Менеджмент; Product Development; Agile Project Management; Scrum;,0
22,22,Project manager,Новосибирск,66666.0,126000.0,Финансовые Информационные Системы,2021-01-15T12:39:13+0300,От 1 года до 3 лет,Полная занятость,Полный день," Мы занимаемся разработкой и внедрением систем, автоматизирующих бизнес-процессы заказчика на базе конструктора Case Platform. ",,,, MS Project; Atlassian Jira;,0
