,Unnamed: 0,Title,City,MinSalary,MaxSalary,company,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requirements,Terms,Key_skills,Days
0,0,IT-рекрутер,Санкт-Петербург,60000.0,250000.0,Имаго,2020-12-01T15:02:05+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа," Давайте знакомиться! Меня зовут Надежда, я HRD агентства по подбору IT персонала IMAGO. ",,,, Работа в команде; Прямой поиск; IT Recruitment;,45
1,1,IT-рекрутер,Москва,100000.0,148545.0,Business Craft Consult,2020-12-02T11:37:41+0300,Нет опыта,Полная занятость,Удаленная работа,  Область ответственности:  ,,"   Понимание предметной области и специфики IT;   Успешный опыт закрытия сложных IT-вакансий;     Навыки поиска в GitHub, stackoverflow, LinkedIn, facebook, habr, telegram;       Многозадачность, самоорганизованность.     ",   Договор с ИП.   Перспектива долгосрочного сотрудничества на крупных проектах.   , рекрутинг; Формирование планов по подбору персонала; Boolean search; X-ray; Поиск программистов; Подбор IT персонала; Мотивация персонала;,44
2,2,IT Директор,Москва,100000.0,100000.0,УК Северное сияние,2020-12-03T11:23:55+0300,От 3 до 6 лет,Полная занятость,Полный день, ," - Развитие и обслуживание инфраструктуры оператора связи, в которую входит технологическая сеть(Cisco, Mikrotik, Dlink) и парк серверов (CentOS, Debian, VMWare ESXi); - Подбор спецификаций для закупки оборудования и ПО; - Решение возникающих аварийных инцидентов, 3 линия поддержки; - Выстраивание процессов обработки обращений пользователей внутри отдела - Взаимодействие с RIPE; - Взаимодействие с операторами связи и подрядными организациями по вопросам сотрудничества и выполнения работ, ведение договоров. "," - Понимание принципов коммутации и маршрутизации, стека TCP\IP, OSI; - Опыт работы с оборудованием Cisco, Mikrotik, Dlink; - Опыт работы c BGP, OSPF, RSTP\MSTP, VLAN, 802.1Q, LACP, VLSM, NAT, ACL, AAA; - Опыт работы с ОС семейства Linux; - Опыт работы с сервисами DNS, DHCP, NFS, MySQL, FTP, Syslog, NTP, RADIUS; - Желателен опыт администрирования АСР BGBilling или аналогичных систем; - Желателен опыт развертывания IPoE на технологической сети; - Желателен опыт администрирования Zabbix; - Инициативность, самостоятельность, самоорганизованность. ",   график работы 5/2 с 09:00 до 18:00   комфортабельный офис в 2 минутах ходьбы от метро Кожуховская   , SIP; VoIP; Cisco; TCP/IP; Linux; Zabbix; Mikrotik; BGP; VLAN; OSPF;,43
3,3,IT-рекрутер,Москва,100000.0,148545.0,Европлан,2020-12-02T16:02:04+0300,От 1 года до 3 лет,Проектная работа,Удаленная работа, IT-Рекрутер (Фриланс) ,"   Поиск и подбор персонала на IT-позиции: разработчики, системные аналитики;   Активное взаимодействие с руководителями подразделений и кандидатами на всех этапах подбора.   ",   Успешный опыт работы в IT-рекрутменте от 1 года;   Умение расставлять приоритеты;   Умение убеждать и вести за собой;   Нацеленность на результат.   ,"   Официальное оформление по агентскому договору;   Уровень дохода напрямую зависит от вашего результата: 50 000 руб. gross за успешное трудоустройство и адаптацию каждого кандидата в Компанию, а вакансий у нас много :) Успешный рекрутер ежемесячно закрывает от 3-х IT-вакансий в месяц;   Свободный график, удаленная работа;   Молодой дружный коллектив профессионалов и единомышленников: средний возраст 25 - 30 лет;   Возможность зачисления в штат.   ", IT Recruitment;,44
4,4,IT Директор,Екатеринбург,80000.0,300000.0,HR&Finance Group,2020-12-03T07:48:07+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"   Разработка и реализация ИТ стратегии компании в соответствии со стратегией развития бизнеса;   Управление внутренними и внешними IT-проектами;   Проектирование и организация IT-инфраструктуры компании;   Планирование, оптимизация и исполнение IT-бюджета;   Руководство и организация работы ИТ-департамента;   Модернизация IT-инфраструктуры с целью повышения ее эффективности и минимизации затрат на ее поддержание.   Организация процессов автоматизации и руководство проектами по автоматизации;   Построение системы эффективной технической поддержки, внедрение системы Service Desk, разработка SLA;   Построение ИТ-архитектуры в соответствии с современными стандартами и принципами методологии ITIL/ITSM;   ",   Высшее профильное образование   Опыт разработки и реализации проектов автоматизации   знание современных методик и практик организации IT-деятельности (ITIL)   ,   Трудоустройство согласно ТК РФ   Заработная плата - оклад + премии по результатам KPI   , Управление рисками; Управление процессами; Управление эффективностью; ITSM; ITIL; Управление бюджетом; Управление проектами;,43
5,5,Sales manager,Москва,100000.0,190000.0,Sibedge,2020-12-02T10:38:52+0300,От 1 года до 3 лет,Полная занятость,Полный день," Бро, ",,,, Sales Skills; Sales development;,44
6,6,IT-рекрутер,Санкт-Петербург,60000.0,119666.0,Helastel,2020-12-01T02:59:59+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,"  Helastel- это консалтинговая IT-компания из Великобритании. Мы занимаемся разработкой ПО для клиентов и собственным продуктом, который набирает популярность на рынке. Мы сплоченная команда профессионалов как в английском офисе, так и далеко за его пределами.  ",,," Удаленная работа, полная занятость. ", Рекрутмент; Подбор персонала; Прямой поиск; Оценка кандидатов; Английский язык; IT Recruitment; Recruitment;,45
7,7,IT-рекрутер,Москва,120000.0,150000.0,Digital-агентство Asia Pacific,2020-12-01T17:53:19+0300,От 3 до 6 лет,Полная занятость,Полный день," Мы ищем крутого рекрутера, который поможет нам с поиском IT специалистов для работы на уже существующих проектах (гейминг), а также на новых проектах (стриминг, дэйтинг), которые находятся на этапе разработки. ",,,, Подбор персонала; Грамотная речь; Прямой поиск; Телефонное интервью; Подбор производственного персонала;,45
8,8,IT-рекрутер,Санкт-Петербург,100000.0,150000.0,Сиридар,2020-12-02T14:51:53+0300,От 3 до 6 лет,Полная занятость,Удаленная работа,  Возможность удаленной работы  ,"   Качественно и своевременно находить таланты и закрывать вакансии ;     Вести полный цикл подбора: активный поиск в разных источниках, телефонные интервью, собеседования, курирование выполнения тестовых заданий, сопровождение выходов;   Участвовать в HR-проектах: адаптация, организация мероприятий, работа с hr-брендом и т.д.   Частично помогать в ведении документооборота;   ",,"   ​​​Высокая заработная плата плюс процент от закрытой вакансии, а также процент от прибыли проекта.   Возможность полной удаленной работы.    Основной офис разработки в экологически чистом районе Санкт Петербурга  с отдельным жилым гостевым комплексом и собственным  аюрведическим шеф поваром (так как мы заботимся о здоровье наших сотрудников)   возможность быстрого карьерного роста в дружной команде профессионалов с огромным опытом.   регулярные тимбилдинги и рабочие поездки в Санкт-Петербурге за счет компании.   ДМС после прохождения испытательного срока.   ", Подбор персонала; Рекрутмент; Внутренние коммуникации; Собеседование; Работа в команде;,44
9,9,Стажер IT,Москва,30000.0,50000.0,АНО ДПО Альянс,2020-12-02T02:02:49+0300,Нет опыта,Стажировка,Полный день, Привет! Мы развиваем современную крутую сеть автошкол в Москве с планами расширения на Россию. ,"   Обучение (основы администрирования сайтов, разработки, поискового продвижения, менеджмент проектов, тестирование).   Выполнение прикладных задач от наших специалистов (с постепенным повышением сложности).   ",   Высокий уровень самоорганизации.   Высокая мотивация работать в сфере web-технологий.   Способность внимательно и качественно исполнять рутинную работу.   ,   Стипендия стажёра 30000 рублей в месяц.   Период стажировки 4 месяца.   После прохождения стажировки обсуждается дальнейшее сотрудничество со стартовой ЗП 50.000 в месяц.   Стажировка проходит в нашем офисе на Чистых прудах.   Рабочее время Пн-Пт с 11:00 до 21:00.   , Креативность;,44
